Year,Province,Population_type,Education_type,Tuition
2018,ONT,Canadian,undergraduate,8793
2018,ONT,Canadian,graduate,10454
2018,ONT,International,undergraduate,35029
2018,ONT,International,graduate,22527
2018,MB,Canadian,undergraduate,4462
2018,MB,Canadian,graduate,4776
2018,MB,International,undergraduate,15546
2018,MB,International,graduate,10582
2018,SK,Canadian,undergraduate,7511
2018,SK,Canadian,graduate,4290
2018,SK,International,undergraduate,20167
2018,SK,International,graduate,6280
2018,AB,Canadian,undergraduate,5713
2018,AB,Canadian,graduate,6248
2018,AB,International,undergraduate,21491
2018,AB,International,graduate,13415
2018,BC,Canadian,undergraduate,5806
2018,BC,Canadian,graduate,8831
2018,BC,International,undergraduate,25717
2018,BC,International,graduate,17243
